"SourceDatabase","SourceTable","SqlTable","RowCount","Status"
"DMWB NHS Data Migration Maps.mdb","CTV3RCTMAP","DMWB_NHS_Data_Migration_Maps_CTV3RCTMAP","445473","Success"
"DMWB NHS Data Migration Maps.mdb","CTV3SCTMAP","DMWB_NHS_Data_Migration_Maps_CTV3SCTMAP","445473","Success"
"DMWB NHS Data Migration Maps.mdb","ICD","DMWB_NHS_Data_Migration_Maps_ICD","19267","Success"
"DMWB NHS Data Migration Maps.mdb","ICDHIER","DMWB_NHS_Data_Migration_Maps_ICDHIER","19267","Success"
"DMWB NHS Data Migration Maps.mdb","ICDSCTMAP","DMWB_NHS_Data_Migration_Maps_ICDSCTMAP","37729","Success"
"DMWB NHS Data Migration Maps.mdb","ICDTC","DMWB_NHS_Data_Migration_Maps_ICDTC","77965","Success"
"DMWB NHS Data Migration Maps.mdb","MAPVERSIONS","DMWB_NHS_Data_Migration_Maps_MAPVERSIONS","10","Success"
"DMWB NHS Data Migration Maps.mdb","OPCS","DMWB_NHS_Data_Migration_Maps_OPCS","11686","Success"
"DMWB NHS Data Migration Maps.mdb","OPCSHIER","DMWB_NHS_Data_Migration_Maps_OPCSHIER","11686","Success"
"DMWB NHS Data Migration Maps.mdb","OPCSSCTMAP","DMWB_NHS_Data_Migration_Maps_OPCSSCTMAP","20816","Success"
"DMWB NHS Data Migration Maps.mdb","OPCSTC","DMWB_NHS_Data_Migration_Maps_OPCSTC","44789","Success"
"DMWB NHS Data Migration Maps.mdb","RCTCTV3MAP","DMWB_NHS_Data_Migration_Maps_RCTCTV3MAP","102066","Success"
"DMWB NHS Data Migration Maps.mdb","RCTSCTMAP","DMWB_NHS_Data_Migration_Maps_RCTSCTMAP","102057","Success"
"DMWB NHS Data Migration Maps.mdb","SCTICDMAP","DMWB_NHS_Data_Migration_Maps_SCTICDMAP","117992","Success"
"DMWB NHS Data Migration Maps.mdb","SCTOPCSMAP","DMWB_NHS_Data_Migration_Maps_SCTOPCSMAP","71730","Success"
"DMWB NHS Public Code Usage.mdb","SCTFREQ","DMWB_NHS_Public_Code_Usage_SCTFREQ","1133250","Success"
"DMWB NHS READ.mdb","CTV3","DMWB_NHS_READ_CTV3","395650","Success"
"DMWB NHS READ.mdb","ctv3_rmf","DMWB_NHS_READ_ctv3_rmf","55272","Success"
"DMWB NHS READ.mdb","ctv3_term","DMWB_NHS_READ_ctv3_term","351470","Success"
"DMWB NHS READ.mdb","CTV3EQV","DMWB_NHS_READ_CTV3EQV","803372","Success"
"DMWB NHS READ.mdb","CTV3HIER","DMWB_NHS_READ_CTV3HIER","287969","Success"
"DMWB NHS READ.mdb","CTV3TC","DMWB_NHS_READ_CTV3TC","2241382","Success"
"DMWB NHS READ.mdb","RCT","DMWB_NHS_READ_RCT","175017","Success"
"DMWB NHS READ.mdb","RCTEQV","DMWB_NHS_READ_RCTEQV","336712","Success"
"DMWB NHS READ.mdb","RCTHIER","DMWB_NHS_READ_RCTHIER","157280","Success"
"DMWB NHS READ.mdb","RCTTC","DMWB_NHS_READ_RCTTC","664554","Success"
"DMWB NHS SNOMED History.mdb","SCTCHIST","DMWB_NHS_SNOMED_History_SCTCHIST","0","Success"
"DMWB NHS SNOMED History.mdb","SCTEQV","DMWB_NHS_SNOMED_History_SCTEQV","112217","Success"
"DMWB NHS SNOMED History.mdb","SCTHIST","DMWB_NHS_SNOMED_History_SCTHIST","352610","Success"
"DMWB NHS SNOMED History.mdb","SCTHREL","DMWB_NHS_SNOMED_History_SCTHREL","348238","Success"
"DMWB NHS SNOMED History.mdb","SCTMETA","DMWB_NHS_SNOMED_History_SCTMETA","1141797","Success"
"DMWB NHS SNOMED History.mdb","SCTSUBST","DMWB_NHS_SNOMED_History_SCTSUBST","0","Success"
"DMWB NHS SNOMED History.mdb","SUBSETLIST","DMWB_NHS_SNOMED_History_SUBSETLIST","1507","Success"
"DMWB NHS SNOMED History.mdb","SUBSETS","DMWB_NHS_SNOMED_History_SUBSETS","461419","Success"
"DMWB NHS SNOMED History.mdb","SUBSETS_RD","DMWB_NHS_SNOMED_History_SUBSETS_RD","2652514","Success"
"DMWB NHS SNOMED Lexicon.mdb","TOKENINDEX","DMWB_NHS_SNOMED_Lexicon_TOKENINDEX","12951424","Success"
"DMWB NHS SNOMED Lexicon.mdb","TOKENS","DMWB_NHS_SNOMED_Lexicon_TOKENS","127220","Success"
"DMWB NHS SNOMED Lexicon.mdb","WEQ","DMWB_NHS_SNOMED_Lexicon_WEQ","25349","Success"
"DMWB NHS SNOMED Query Table.mdb","SCTQT","DMWB_NHS_SNOMED_Query_Table_SCTQT","22918684","Success"
"DMWB NHS SNOMED Transitive Closure.mdb","SCTTC","DMWB_NHS_SNOMED_Transitive_Closure_SCTTC","11637305","Success"
"DMWB NHS SNOMED.mdb","SCT","DMWB_NHS_SNOMED_SCT","3337614","Success"
"DMWB NHS SNOMED.mdb","SCTHIER","DMWB_NHS_SNOMED_SCTHIER","1476926","Success"
"DMWB NHS SNOMED.mdb","SCTMODREL","DMWB_NHS_SNOMED_SCTMODREL","137","Success"
"DMWB NHS SNOMED.mdb","SCTMRCM","DMWB_NHS_SNOMED_SCTMRCM","277","Success"
"DMWB NHS SNOMED.mdb","SCTREL","DMWB_NHS_SNOMED_SCTREL","3430701","Success"
"DMWB NHS SNOMED.mdb","VERSIONS","DMWB_NHS_SNOMED_VERSIONS","6","Success"
