Cluster_ID,Cluster_Description,SNOMED_code,SNOMED_code_description
ALC_COD,Alcohol consumption codes,105542008,Current non-drinker of alcohol (finding)
ALC_COD,Alcohol consumption codes,1082631000000102,Alcohol units consumed per day (observable entity)
ALC_COD,Alcohol consumption codes,1082641000000106,Alcohol units consumed per week (observable entity)
ALC_COD,Alcohol consumption codes,10939881000119105,Unhealthy alcohol drinking behavior (finding)
ALC_COD,Alcohol consumption codes,160573003,Alcohol intake (observable entity)
ALC_COD,Alcohol consumption codes,160575005,Light drinker - 1-2u/day (finding)
ALC_COD,Alcohol consumption codes,160576006,Moderate drinker - 3-6u/day (finding)
ALC_COD,Alcohol consumption codes,160577002,Heavy drinker - 7-9u/day (finding)
ALC_COD,Alcohol consumption codes,160578007,Very heavy drinker - greater than 9 units/day (finding)
ALC_COD,Alcohol consumption codes,160579004,Stopped drinking alcohol (finding)
ALC_COD,Alcohol consumption codes,160582009,Ex-trivial drinker - less than 1 unit/day (finding)
ALC_COD,Alcohol consumption codes,160583004,Ex-light drinker - (1-2u/day) (finding)
ALC_COD,Alcohol consumption codes,160584005,Ex-moderate drinker - (3-6u/d) (finding)
ALC_COD,Alcohol consumption codes,160585006,Ex-heavy drinker - (7-9u/day) (finding)
ALC_COD,Alcohol consumption codes,160587003,Ex-very heavy drinker - greater than 9 units/day (finding)
ALC_COD,Alcohol consumption codes,160588008,Drinker of hard liquor (finding)
ALC_COD,Alcohol consumption codes,160589000,Beer drinker (finding)
ALC_COD,Alcohol consumption codes,160590009,Drinks beer and hard liquor (finding)
ALC_COD,Alcohol consumption codes,160591008,Drinks wine (finding)
ALC_COD,Alcohol consumption codes,160592001,Alcohol intake above recommended sensible limits (finding)
ALC_COD,Alcohol consumption codes,160593006,Alcohol intake within recommended sensible limits (finding)
ALC_COD,Alcohol consumption codes,198421000000108,Hazardous alcohol use (finding)
ALC_COD,Alcohol consumption codes,198431000000105,Harmful alcohol use (finding)
ALC_COD,Alcohol consumption codes,219006,Current drinker of alcohol (finding)
ALC_COD,Alcohol consumption codes,228274009,Lifetime non-drinker (finding)
ALC_COD,Alcohol consumption codes,228276006,Occasional drinker (finding)
ALC_COD,Alcohol consumption codes,228277002,Light drinker (finding)
ALC_COD,Alcohol consumption codes,228278007,Fairly heavy drinker (finding)
ALC_COD,Alcohol consumption codes,228279004,Very heavy drinker (finding)
ALC_COD,Alcohol consumption codes,228281002,Problem drinker (finding)
ALC_COD,Alcohol consumption codes,228315001,Binge drinker (finding)
ALC_COD,Alcohol consumption codes,228316000,Alcoholic binges exceeding sensible amounts (finding)
ALC_COD,Alcohol consumption codes,228317009,Alcoholic binges exceeding safe amounts (finding)
ALC_COD,Alcohol consumption codes,228326007,Drinking binge (finding)
ALC_COD,Alcohol consumption codes,230085005,Beer intake (observable entity)
ALC_COD,Alcohol consumption codes,230086006,Wine intake (observable entity)
ALC_COD,Alcohol consumption codes,230088007,Hard liquor intake (observable entity)
ALC_COD,Alcohol consumption codes,266917007,Trivial drinker - <1u/day (finding)
ALC_COD,Alcohol consumption codes,28127009,Social drinker (finding)
ALC_COD,Alcohol consumption codes,286857004,Ex-problem drinker (finding)
ALC_COD,Alcohol consumption codes,300939009,Abstinent alcoholic (finding)
ALC_COD,Alcohol consumption codes,43783005,Moderate drinker (finding)
ALC_COD,Alcohol consumption codes,442547005,Number of alcohol units consumed on heaviest drinking day (observable entity)
ALC_COD,Alcohol consumption codes,447087000,Drinks alcoholic cider (finding)
ALC_COD,Alcohol consumption codes,748381000000102,Drinks real ale (finding)
ALC_COD,Alcohol consumption codes,777631000000108,Increasing risk alcohol drinking (finding)
ALC_COD,Alcohol consumption codes,777651000000101,Higher risk alcohol drinking (finding)
ALC_COD,Alcohol consumption codes,777671000000105,Lower risk alcohol drinking (finding)
ALC_COD,Alcohol consumption codes,783261004,Lifetime non-drinker of alcohol (finding)
ALC_COD,Alcohol consumption codes,82581004,Ex-drinker (finding)
ALC_COD,Alcohol consumption codes,86933000,Heavy drinker (finding)
ALC_COD,Alcohol consumption codes,896792007,Cider intake (observable entity)
ALC_COD,Alcohol consumption codes,896807001,Estimated volume of intake of alcoholic cider in 24 hours (observable entity)
ALC_COD,Alcohol consumption codes,896808006,Estimated volume of intake of wine in 24 hours (observable entity)
ALC_COD,Alcohol consumption codes,896809003,Estimated volume of intake of distilled spirits in 24 hours (observable entity)
ALC_COD,Alcohol consumption codes,896812000,Estimated volume of intake of beer in 24 hours (observable entity)
ALC_COD,Alcohol consumption codes,897148007,Alcoholic beverage intake (observable entity)
ALC_COD,Alcohol consumption codes,926322008,Intake of distilled spirits (observable entity)
ALCREF_COD,Referral regarding alcohol usage codes,376401000000103,Referral to alcohol brief intervention service (procedure)
ALCREF_COD,Referral regarding alcohol usage codes,390857005,Referral to community alcohol team (procedure)
ALCREF_COD,Referral regarding alcohol usage codes,417096006,Referral to community drug and alcohol team (procedure)
ALCREF_COD,Referral regarding alcohol usage codes,431260004,Referral to specialist alcohol treatment service (procedure)
ALCREF_COD,Referral regarding alcohol usage codes,809401000000103,Referral to alcohol misuse clinic (procedure)
ALCSPADV_COD,Referral to specialist alcohol treatment service codes,1099141000000106,Referral to alcohol misuse service (procedure)
ALCSPADV_COD,Referral to specialist alcohol treatment service codes,38670004,Referral to alcoholism rehabilitation service (procedure)
ALCSPADV_COD,Referral to specialist alcohol treatment service codes,431260004,Referral to specialist alcohol treatment service (procedure)
